Name,Cuisine,Phone Number,Description,Twice Rated
GAUCHO PARRILLA ARGENTINA,ARGENTINE,4127096622,"There regularly are lines around the block at Gaucho Parrilla Argentina, and for good reason. Chef/Owner Anthony Falcon, Executive Chef Matt Neal and their team are serving some of the tastiest steaks in town, and they’re doing it at an affordable price. Flank, ribeye, New York strip and other cuts of beef are cooked over open hardwood fire to smokey perfection; top them with one — or more — of the house-made sauces. Gaucho’s menu also includes excellent pork, fish and chicken options, as well as seasonal vegetarian options. Look for the Asado Truck, the restaurant’s mobile option, around town.",True
HYEHOLDE,AMERICAN,4122643116,"Diners looking for an elegant meal packed full of history that can’t be found anywhere else in the region should look to Hyeholde, where meals have been served in the faux-Tudor manor house for 80 years. Brent Peyton currently is the establishment’s executive chef and his menu leans toward classic dishes such as rosemary-cranberry crusted elk and braised beef short ribs but also includes lentil stew with Wagyu beef cheek and winter vegetable flan. Business casual attire is suggested, unless you’re enjoying a picnic basket on Hyeholde’s gorgeous grounds.",False
LAUTREC,FINE DINING,7243298555,"Lautrec, the fine-dining restaurant at Nemacolin Woodlands Resort, is more than 60 miles from Pittsburgh, yet it maintains a place on this list because of how extraordinary an experience it is to dine there. Executive Chef Kristin A. Butterworth combines classic technique with a farm-to-table ethos to craft a menu full of visually and gastronomically stunning dishes.",True
LEGUME,AMERICAN,4126212700,"Trevett Hooper’s Legume restaurant won early acclaim with progressive eaters when he opened the first iteration of the producer-to-table eatery in 2007, and he reached a wider audience moving to Oakland in 2011. This year, Legume’s reputation for responsive seasonal cuisine and genuine connection to local food systems hit the national spotlight, earning a James Beard award semifinalist nod for Best Restaurant (Hooper also was a 2013 Best Chef: Mid-Atlantic semifinalist). The restaurant’s cozy attached bar, Butterjoint, serves the Legume menu as well as snacks, including one of the best hamburgers in Pittsburgh. Hooper’s new project, Pie For Breakfast, will open later this year.",True
MORCILLA,SPANISH,4126529924,"Although Pittsburgh eating aficionados mourn the closing of Cure, Justin Severino’s culinary prowess (and his absurdly amazing charcuterie) lives on at his other restaurant, Morcilla. He works with Executive Chef Nate Hobart to offer a delectable array of Spanish-influenced snacks such as Spanish mackerel escabeche with espelette aioli, fennel and saffron, plus large-format dishes such as cider-braised chicken with calasparra rice and herbs.",True
NOODLEHEAD,THAI,4122357828,"Quick and casual is the name of the game at Noodlehead. All of the noodle recipes on the restaurant’s modest menu were created or inspired by Tongdee family matriarch Pusadee Tongdee. With a name like Noodlehead, it’s not much of a surprise that noodles are what you want to get at this cash-only, BYOB restaurant. Standout dishes include chiang mai curry (egg noodles, chicken, pickled mustard greens, crispy shallots, yellow curry coconut milk sauce) and kee mao (big flat rice noodles, bok choy, napa cabbage, spicy chili garlic sauce); the noodle soups are solid, too.",False
"OR, THE WHALE",AMERICAN,4126320002,"Sustainability, seafood and steaks are the buzzwords at or, The Whale, the restaurant at the Distrikt Hotel Downtown. Chef/Owner Dennis Marron and his team are meticulous in their sourcing, working with suppliers such as Jubilee Hilltop Ranch to craft a menu from ethically raised and very delicious ingredients. You won’t feel landlocked with seafood dishes such as dayboat scallops with butternut squash caponata, sunflower shoots, black radish and fingerling potato chips, and selections from the dry-aged steak program, grilled over hardwood fire, are unbeatable.",False
PENN AVENUE FISH COMPANY,SEAFOOD,4124347200,"Penn Avenue Fish Company merges a vibrant fish market with a casual, BYOB eatery. Deep inside the space is a sushi counter, where chefs craft nigiri bites with fresh fish lofted atop seasoned rice served at body temperature. If sushi isn’t your thing, go for a decadent fish sandwich, such as English-style cod with breadcrumbs and tartar sauce or Sneaky Pete — grilled salmon on whole-grain ciabatta with fresh arugula, hearts of palm and spicy avocado crème sauce.",False
PICCOLO FORNO,ITALIAN,4126220111,"In 2005, long before Lawrenceville became a booming hotspot, third-generation Pittsburgh restaurateur Domenic Branduzzi started serving pizza, pasta and more at Piccolo Forno. The focus here is on Tuscan cuisine. Branduzzi’s mother, Carla, still hand-makes all of the pasta for the restaurant, just like she did at her former restaurant in the Strip. Go for gnocchetti di Castagne (ricotta and chestnut flour gnocchi with braised beef short rib, fig and marsala ragu, ricotta salata and hazelnuts) and pappardelle con coniglio e funghi (braised rabbit with pappardelle pasta, roasted tomatoes and wild mushrooms).",False
POULET BLEU,FRENCH,4123253435,"Poulet Bleu is the Richard DeShantz Restaurant Group’s first foray from its Downtown core of bar/restaurants, and it’s a grand success, earning this year’s award for Best New Restaurant.",False
SALEMS MARKET & GRILL,MIDDLE EASTERN,4122357828,I love the lunchtime hubbub at Salem’s Market &amp; Grill. Come prepared for bare-bones ambience and amenities that are balanced by warm hospitality and fantastic food. The diversity of its clientele is a reflection of the population of the city — it’s the Pittsburgh restaurant where you’ll most likely be surrounded by people who come from a different background than you do.,True
SENTI,ITALIAN,4125864347,"Senti’s low-key exterior makes it easy to miss, which is a shame because once you’re inside, it’s a real treat. Pittsburgh is lucky to have owner Franco Braccia running front-of-house service; his ability to read and react to what a table needs is extraordinary.",True
SMOKE BARBEQUE TAQUERIA,BARBEQUE,4122242070,"Pittsburgh doesn’t have many terrific taco options, which is why we love this hybrid barbecue-taco shop. Executive Chef/Co-Owner Jeff Petruso does a fantastic job of mashing up Texas-style barbecue with Austin taco culture at SMOKE Barbeque Taqueria in Lawrenceville. He prepares tantalizing smoked meats such as brisket, ribs and pork shoulder that are served in house-made flour; freshly made corn tortillas also are available. Look for daily specials, too. Tuesdays mean hamburgers, which are scratch-made top to bottom and rank among the best in Pittsburgh.",True
SPOON,AMERICAN,4123626001,"Executive Chef/Co-Owner Brian Pekarcik’s attuned-to-the-seasons menu is rooted in modern American cuisine, with a nod to Pittsburgh in dishes such as beet pierogi with house-made sausage and pickled fennel slaw. Look for elegant main courses such as duck breast with lemon-herb crust, chestnut spaetzle, pickled pear and juniper-port reduction. Spoon’s cocktail list long has been one of the strongest in Pittsburgh.",True
SPORK,AMERICAN,4124411700,Executive Chef Christian Frangiadis sat at the pinnacle of Pittsburgh dining in the late 1990s. After more than a decade in the Caribbean — and a few years finding his footing at Spork — he’s climbed back to the top of the peak.,False
STAGIONI,ITALIAN,4125864738,"Stagioni is either a beloved part of your regular restaurant rotation or one of Pittsburgh’s best kept secrets. Executive Chef/Co-Owner Stephen Felder’s menu of seasonal Italian classics such as grilled whole branzino with fennel, orange and pistachio, tomato-braised meatballs with escarole, cannellini beans and Calabrian chili and ricotta gnocchi with sausage-rapini ragout are reason enough to visit several times per year. Make sure to make reservations for Felder’s monthly Sunday Supper dinners — the family-style feasts are a scrumptious conversation starter.",False
SUPERIOR MOTORS,NEW AMERICAN,4122711022,"Executive Chef/Co-Owner Kevin Sousa serves New American cuisine influenced by modernist technique at his Braddock establishment, which the independent Restaurant Review Panel selected as this year’s Best New Restaurant. Sousa’s artfully composed dishes such as carrot or tuna tartare with nori, kimchi, miso and katsuobushi and sturgeon with spaetzle, cauliflower, cabbage and mustard are a draw to the restaurant, as is Superior Motors’ forward-thinking cocktail program.",True
TAIWANESE BISTRO CAFE 33,TAIWANESE,4124212717,"Regionally specific Chinese cuisine is on the rise in Pittsburgh, and there perhaps is no better demonstration of this trend than Taiwanese Bistro Cafe 33. Executive Chef/Co-Owner Asan Tao forgoes generic “Chinese food” in favor of a menu of Taiwanese specialties such as cold jellyfish, three-cup chicken and pork with mustard greens soup. Certain dishes, such as pork-blood “tofu” with garlic-chive soup, intestines in garlic sauce and book-tripe with vegetables, might be unfamiliar to Western palettes but absolutely are worth ordering. Co-Owner Jenny Tao oversees a genial front-of-house staff who are eager to guide guests to assemble a perfect meal.",True
TESSAROS AMERICAN BAR & HARDWOOD GRILL,BURGERS/AMERICAN,4126826809,"Pittsburghers have since 1981 flocked to the Bloomfield burger joint and bar for a taste of a true Steel City classic. Every day, Tessaro’s butcher Dominic Piccola grinds the restaurant’s custom blend of chuck, brisket, short rib, New York strip and other cuts. Then, grill master Courtney McFarlane cooks the ground beef over a hardwood fire, as he’s done nearly every day since 1992. As any regular would tell you, there are no French fries at Tessaro’s; instead order a favorite side such as boiled red-skin potatoes or broccoli (hey, your body will thank you). On Thursdays, there is a ribs special. We love the bar — and the longstanding bartenders — at Tessaro’s too.",False
THE CAFE CARNEGIE,AMERICAN,4126223225,"Cafe Carnegie is one of my favorite lunch destinations in Pittsburgh. The upscale yet casual restaurant is nestled in the lobby of The Carnegie Museums of Art and Natural History, which means a quick cultural escape is footsteps away. One of the things I love best about Consulting Chef Sonja J Finn’s menu is that a meal will leave you feeling stronger and more energetic than when you came in. Go for peppy, satisfying salads such as the Zuni Cafe-influenced pulled chicken salad or salad chevre chaud, or a heartier dish such as Jamison Farm lamb pot pie.",True
THE TWISTED FRENCHMAN,MODERN FRENCH,4126652880,"In 2017, Executive Chef/Partner Andrew Garbarino moved The Twisted Frenchman restaurant down the block into a multimillion-dollar remodel of an old auction house. On the second floor of the building is the new iteration of his modern French restaurant, which sits above the more casual Bar Frenchman. He and his kitchen team prepare 3-, 8- and 14-course tasting menus, as well as a 21-course chef’s table experience. Garbarino focuses on high-quality ingredients and uses both classic French and modernist techniques in his preparations. Service is top-notch, as is the wine list.",True
THE VANDAL,AMERICAN,4122510465,"It’s marvelous witnessing a restaurant metamorphosize into a new stage of maturity. The Vandal remains as hip as when it was included on Pittsburgh Magazine’s 2016 Best Restaurants list — and the chicken sandwich and hamburger still are draws. Even better — the addition of a refined dinner menu, table service and an upgraded design makes the restaurant now as much an evening destination as it is a lunch and brunch spot. Look to dishes such as green borscht with potato, dill and cured egg and stuffed quail with paprikash, spaetzle and cucumber, where Executive Chef Csilla Thackray draws from her Hungarian heritage.",False
UDIPI CAFE,INDIAN,4123735581,"2018 might mark Udipi Cafe’s first year on Pittsburgh Magazine’s Best Restaurants list, yet savvy diners have known since 1996 that Manjunath Sherigar’s restaurant is home to the region’s best vegan southern Indian cuisine. Look past the bare-bones decor and treat your taste buds to invigorating dishes such as avial (vegetables cooked in coconut sauce and spice) and kadhi bhindi curry (Okra with herbs and spices). The restaurant’s dosas — thin pancakes made from fermented rice and lentil flours, stuffed with ingredients such as spiced potato, onion and chutney — are a draw.",False
UMAMI,JAPANESE,4122242354,"Pittsburgh is a city starving for late-night dining options. One of the reasons we love Umami, a third-floor izakaya from Roger Li (Ki Ramen, Ki Pollo) and Derek Brunell (Round Corner Cantina) is that the establishment serves crushable Japanese pub food such as chawanmushi, karaage and okonomiyaki until midnight during the week and 2 a.m. on weekends. Li and his team also serve some of the best sushi in Pittsburgh — pay particular attention to the daily specials. We’re smitten with items such as whole fish, King Trumpet mushroom and bacon-quail eggs cooked on the charcoal-fired robata grill. The izakaya’s intricate design and DJ-curated playlists are transportive.",True
UMI JAPANESE RESTAURANT,JAPANESE,4123626198,"Umi is a trailblazing Pittsburgh restaurant. The nearly 20-year-old establishment became a sushi destination long before there were any options of its caliber in Pittsburgh, and it remains on top of the seasoned rice pile. Executive Chef Mr. Shu’s handiwork is beloved by everyone from Pittsburgh’s professional athletes, visiting film stars and an array of regulars. We recommend the 7- or 11-course omakase offerings, though we also enjoy menu items such as black cod with miso. Make a reservation, particularly if you’re interested in enjoying Mr. Shu’s omakase at the sushi bar.",False
UNION STANDARD,AMERICAN,4122810738,"Derek Stevens made his mark in Pittsburgh as the longstanding executive chef of Eleven, running the Strip District kitchen for more than a decade. In 2017, after more than 25 years of working for other people, he decided to strike out solo and open Union Standard Downtown. Stevens’ menu marries the cuisines of the Mid-Atlantic, Appalachia and the Northeast with impeccably sourced dishes such as Jamison Farm lamb with Anson Mills polenta, blistered green beans, blood orange and pistachio and Laurel Hill trout with fingerling potato, smoked jalapeno and chow chow. Union Standard is a top choice for brunch and lunch Downtown, and the raw bar and cocktail program make it a terrific after-work and happy hour destination.",True
VIVO KITCHEN,MEDITERRANEAN,4122598945,"Vivo is a rare restaurant that primarily is a neighborhood favorite, yet, also is worthy as a destination dinner. The family-run business — Sam DiBattista is the restaurant’s executive chef and his wife, Lori, runs front-of-house operations — radiates warmth from greeting to goodbye. Roasted chicken is de rigueur this year in Pittsburgh, but cooking a whole, crispy bird is something DiBattista perfected years ago. He also is a prince of pescatarian cookery, using straightforward techniques such as grilling and roasting to bring the best out of the ocean’s bounty.",True
WHITFIELD,AMERICAN,4126263090,"The restaurant at Ace Hotel in East Liberty is run by two James Beard Foundation nominated chefs. Executive Chef Bethany Zozula is a 2018 semifinalist for Best Chef: Mid-Atlantic and Pastry Chef Casey Renee is, two years running, a semifinalist for Outstanding Pastry Chef. Visit Whitfield for, well, just about anything you’re craving. Breakfast and lunch menus offer satisfying, comforting selections such as Toad-in-a-Hole, mushroom gravy and biscuits and duck leg confit with escarole and hashbrowns. The restaurant’s dinner menu highlights Whitfield’s ambitious whole-animal butchery program. Here, diners can find selections such as Jamison Farm lamb, rabbit “porchetta” and Jubilee Hilltop Ranch steaks. There always are terrific vegetarian options, too, including a daily, multi-course tasting menu.",False
